A,0,0,9
A,0,1,6
A,0,2,7
A,0,3,8
A,0,4,6
A,0,5,6
A,0,6,8
A,0,7,3
A,0,8,8
A,0,9,8
A,0,10,3
A,0,11,8
A,0,12,1
A,0,13,8
A,0,14,2
A,0,15,1
A,1,0,2
A,1,1,7
A,1,2,4
A,1,3,8
A,1,4,5
A,1,5,2
A,1,6,3
A,1,7,1
A,1,8,3
A,1,9,4
A,1,10,5
A,1,11,3
A,1,12,2
A,1,13,6
A,1,14,8
A,1,15,1
A,2,0,2
A,2,1,5
A,2,2,6
A,2,3,6
A,2,4,1
A,2,5,3
A,2,6,6
A,2,7,9
A,2,8,8
A,2,9,8
A,2,10,7
A,2,11,8
A,2,12,5
A,2,13,6
A,2,14,7
A,2,15,4
A,3,0,3
A,3,1,1
A,3,2,2
A,3,3,6
A,3,4,2
A,3,5,4
A,3,6,4
A,3,7,4
A,3,8,5
A,3,9,7
A,3,10,4
A,3,11,6
A,3,12,3
A,3,13,3
A,3,14,5
A,3,15,3
A,4,0,5
A,4,1,1
A,4,2,6
A,4,3,6
A,4,4,1
A,4,5,9
A,4,6,3
A,4,7,9
A,4,8,5
A,4,9,7
A,4,10,7
A,4,11,9
A,4,12,4
A,4,13,2
A,4,14,3
A,4,15,4
A,5,0,2
A,5,1,4
A,5,2,7
A,5,3,1
A,5,4,5
A,5,5,2
A,5,6,2
A,5,7,7
A,5,8,8
A,5,9,6
A,5,10,2
A,5,11,8
A,5,12,6
A,5,13,6
A,5,14,8
A,5,15,8
A,6,0,4
A,6,1,4
A,6,2,4
A,6,3,5
A,6,4,3
A,6,5,6
A,6,6,4
A,6,7,8
A,6,8,4
A,6,9,8
A,6,10,5
A,6,11,5
A,6,12,1
A,6,13,8
A,6,14,6
A,6,15,9
A,7,0,9
A,7,1,4
A,7,2,1
A,7,3,3
A,7,4,3
A,7,5,2
A,7,6,7
A,7,7,1
A,7,8,5
A,7,9,8
A,7,10,6
A,7,11,8
A,7,12,4
A,7,13,5
A,7,14,7
A,7,15,6
A,8,0,6
A,8,1,8
A,8,2,1
A,8,3,9
A,8,4,3
A,8,5,2
A,8,6,5
A,8,7,4
A,8,8,7
A,8,9,9
A,8,10,8
A,8,11,5
A,8,12,5
A,8,13,2
A,8,14,5
A,8,15,3
A,9,0,5
A,9,1,3
A,9,2,3
A,9,3,7
A,9,4,4
A,9,5,9
A,9,6,5
A,9,7,7
A,9,8,8
A,9,9,9
A,9,10,3
A,9,11,9
A,9,12,4
A,9,13,7
A,9,14,5
A,9,15,9
A,10,0,6
A,10,1,3
A,10,2,6
A,10,3,6
A,10,4,2
A,10,5,8
A,10,6,9
A,10,7,9
A,10,8,8
A,10,9,5
A,10,10,2
A,10,11,1
A,10,12,6
A,10,13,6
A,10,14,3
A,10,15,2
A,11,0,8
A,11,1,3
A,11,2,6
A,11,3,1
A,11,4,3
A,11,5,9
A,11,6,5
A,11,7,1
A,11,8,8
A,11,9,7
A,11,10,7
A,11,11,9
A,11,12,3
A,11,13,1
A,11,14,6
A,11,15,8
A,12,0,3
A,12,1,1
A,12,2,4
A,12,3,3
A,12,4,8
A,12,5,1
A,12,6,9
A,12,7,4
A,12,8,5
A,12,9,1
A,12,10,5
A,12,11,1
A,12,12,5
A,12,13,5
A,12,14,9
A,12,15,1
A,13,0,8
A,13,1,4
A,13,2,8
A,13,3,8
A,13,4,3
A,13,5,3
A,13,6,6
A,13,7,8
A,13,8,8
A,13,9,3
A,13,10,7
A,13,11,1
A,13,12,3
A,13,13,1
A,13,14,6
A,13,15,4
A,14,0,1
A,14,1,7
A,14,2,6
A,14,3,7
A,14,4,7
A,14,5,3
A,14,6,1
A,14,7,2
A,14,8,3
A,14,9,5
A,14,10,9
A,14,11,5
A,14,12,8
A,14,13,9
A,14,14,6
A,14,15,4
A,15,0,3
A,15,1,4
A,15,2,2
A,15,3,3
A,15,4,5
A,15,5,7
A,15,6,8
A,15,7,3
A,15,8,7
A,15,9,3
A,15,10,1
A,15,11,1
A,15,12,3
A,15,13,6
A,15,14,2
A,15,15,2
B,0,0,3
B,0,1,5
B,0,2,8
B,0,3,7
B,0,4,7
B,0,5,8
B,0,6,6
B,0,7,7
B,0,8,2
B,0,9,5
B,0,10,3
B,0,11,7
B,0,12,4
B,0,13,6
B,0,14,1
B,0,15,4
B,1,0,9
B,1,1,2
B,1,2,4
B,1,3,4
B,1,4,6
B,1,5,2
B,1,6,4
B,1,7,3
B,1,8,4
